"","speaker","words","episode"
"32","LORELAI"," So soon?","raw/s01e01.txt"
"33","JOEY"," What?","raw/s01e01.txt"
"34","LORELAI"," I'm just screwing with your mind, Joey. It's nice to meet you. Enjoy Hartford.","raw/s01e01.txt"
"35","JOEY"," Enjoy your coffee, mystery woman.","raw/s01e01.txt"
"36","LORELAI"," Hm. I like that.","raw/s01e01.txt"
"37","","[As Joey goes back to the counter, Rory walks in and sits across from Lorelai.]","raw/s01e01.txt"
"38","RORY"," Hey. It's freezing.","raw/s01e01.txt"
"39","LORELAI"," Oh, what do you need? Hot tea, coffee?","raw/s01e01.txt"
"40","RORY"," Lip gloss.","raw/s01e01.txt"
"41","LORELAI"," Aha.","raw/s01e01.txt"
"42","","[Lorelai pulls a makeup bag out of her purse.]","raw/s01e01.txt"
"43","LORELAI"," I have vanilla, chocolate, strawberry, and toasted marshmallow.","raw/s01e01.txt"
"44","RORY"," Anything in there not resembling a breakfast cereal?","raw/s01e01.txt"
"45","LORELAI"," Yes.","raw/s01e01.txt"
"46","","[Lorelai pulls out another bag.]","raw/s01e01.txt"
"47","LORELAI"," It has no smell but it changes colors with your mood.","raw/s01e01.txt"
"48","RORY"," God, RuPaul doesn't need this much makeup.","raw/s01e01.txt"
"49","LORELAI"," Wow, you're crabby.","raw/s01e01.txt"
"50","RORY"," I'm sorry. I lost my Macy Gray CD and I need caffeine.","raw/s01e01.txt"
"51","LORELAI"," Ooh, I have your CD. [pulls the CD out of her purse]","raw/s01e01.txt"
"52","RORY"," Thief.","raw/s01e01.txt"
"53","LORELAI"," Sorry, and I will get you some coffee.","raw/s01e01.txt"
"54","","[Lorelai picks up another coffee cup and goes back to the counter. Luke gives her a look.]","raw/s01e01.txt"
"55","LORELAI"," What? It's not for me. It's for Rory, I swear.","raw/s01e01.txt"
"56","LUKE"," You're shameless.","raw/s01e01.txt"
"57","","[Behind Lorelai, Joey approaches Rory's table.]","raw/s01e01.txt"
"58","LORELAI"," Look, Officer Krupke. She's right at that table, right over there.","raw/s01e01.txt"
"59","","[Lorelai turns to point to Rory and sees Joey talking to her. Luke fills the coffee cup.]","raw/s01e01.txt"
"60","LORELAI"," Ah. He's got quite a pair, this guy. [Lorelai takes the cup.] Thanks.","raw/s01e01.txt"
"61","","[Lorelai goes back to the table.]","raw/s01e01.txt"
"62","JOEY"," [to Rory] Yeah, I've never been through here before.","raw/s01e01.txt"
"63","LORELAI"," Oh, you have, too.","raw/s01e01.txt"
"64","JOEY"," Oh, hi.","raw/s01e01.txt"
"65","LORELAI"," Oh, hi. You really like my table, don't you?","raw/s01e01.txt"
"66","JOEY"," I was just, uh. . .","raw/s01e01.txt"
"67","LORELAI"," Getting to know my daughter.","raw/s01e01.txt"
"68","JOEY"," Your. . .","raw/s01e01.txt"
"69","RORY"," Are you my new daddy?","raw/s01e01.txt"
"70","JOEY"," Wow. You do not look old enough to have a daughter. No, I mean it. And you do not look like a daughter.","raw/s01e01.txt"
"71","LORELAI"," That's possibly very sweet of you. Thanks.","raw/s01e01.txt"
"72","JOEY"," So. . .daughter. You know, I am traveling with a friend.","raw/s01e01.txt"
"73","LORELAI"," She's sixteen.","raw/s01e01.txt"
"74","JOEY"," Bye.","raw/s01e01.txt"
"75","LORELAI"," Drive safe.","raw/s01e01.txt"
"76","","[Joey and his friend exit the diner.]","raw/s01e01.txt"
"77","","[opening credits]","raw/s01e01.txt"
"78","","CUT TO THE INDEPENDENCE INN","raw/s01e01.txt"
"79","","[Lorelai walks into the lobby and hands a key to a bellboy.]","raw/s01e01.txt"
"80","LORELAI"," Oh, here you go.","raw/s01e01.txt"
"81","BELLBOY"," Thanks.","raw/s01e01.txt"
"82","","[Lorelai walks to the front desk, where Michel is on the phone and sorting mail]","raw/s01e01.txt"
"83","MICHEL"," Independence Inn, Michel speaking. [pause] No, I'm sorry, we're completely booked. [pause] We have a wedding party here. [pause] No, there is really nothing I can do. [pause] Yes, I'm sure. [pause] Positive. [pause] No, I don't have to look ma'am, I -- [pause] Yes, of course I'll look.","raw/s01e01.txt"
"84","","[Michel puts the phone down, continues to sort the mail, then picks the phone back up.]","raw/s01e01.txt"
"85","MICHEL"," No, I'm sorry, we're completely booked.","raw/s01e01.txt"
"86","","[Drella pushes her harp through the crowded lobby.]","raw/s01e01.txt"
"87","DRELLA"," Oh, no, don't move. Just ignore the tiny woman pushing the 200-pound instrument around. No, this is good, I like this. After this I'll, uh, bench press a piano, huh? [Drella stops behind a woman bent over tying her shoe.] Oh, that's it, lady, tie your shoe now. Yeah, don't worry, I'll wait.","raw/s01e01.txt"
"88","","[Lorelai walks over to her]","raw/s01e01.txt"
"89","LORELAI"," Hi, Drella, hi. I was just wondering, um, could you be, uh, nicer to the guests?","raw/s01e01.txt"
"90","DRELLA"," I'm sorry. Did you not want a harp player?","raw/s01e01.txt"
"91","LORELAI"," Yes, I did.","raw/s01e01.txt"
"92","DRELLA"," And did you not want a great harp player?","raw/s01e01.txt"
"93","LORELAI"," Yes, I did.","raw/s01e01.txt"
"94","DRELLA"," Okay. I am a great harp player, and this is my great harp, okay. So if you're looking for someone to just be nice to the guests, get a harmonica player, or maybe some guy who whistles through his nose. Okay? Capisce?","raw/s01e01.txt"
"95","","[Lorelai backs off and walks away. Drella goes back to pushing her harp into its place.]","raw/s01e01.txt"
"96","DRELLA"," Oh, that is a great spot for a table. Decorator's a genius.","raw/s01e01.txt"
"97","","[Lorelai walks back to the front desk where Michel is still on the phone]","raw/s01e01.txt"
"98","MICHEL"," Madame, you have no idea how desperately I'd like to help, but see, I'd have to build a room for you myself, and I am not a man who works with his hands, so the best I can do is suggest that you please, please try for another weekend. Any weekend. [pause] Ah, good, fine, the twenty-first. Hold on, I'll look. [Michel leafs through the reservation book] No, I'm sorry, we're completely booked. [Michel looks at the phone, as apparently the woman has hung up on him]","raw/s01e01.txt"
"99","LORELAI"," Has the plumber attended to room four yet?","raw/s01e01.txt"
"100","MICHEL"," He was here, he did nothing, it's a hundred dollars.","raw/s01e01.txt"
"101","","[Lorelai picks up the phone and dials a number.]","raw/s01e01.txt"
"102","LORELAI"," Hi Marco, Lorelai. Talk to me about room four. What was wrong with it?","raw/s01e01.txt"
"103","","[Rory comes in. Lorelai kisses her hello.]","raw/s01e01.txt"
"104","LORELAI"," [on phone] Uh huh. I thought you replaced that already. [pause] Well, because you told me you did and I never forget anything, so this one's on you, right? [pause] Pleasure doing business with you. [hangs up]","raw/s01e01.txt"
"105","MICHEL"," What is your offspring doing?","raw/s01e01.txt"
"106","RORY"," I need stamps. Can I have these?","raw/s01e01.txt"
"107","MICHEL"," No.","raw/s01e01.txt"
"108","LORELAI"," Take them. What's with the muumuu? [gestures to Rory's baggy sweater.]","raw/s01e01.txt"
"109","RORY"," Stop.","raw/s01e01.txt"
"110","LORELAI"," No, I'm just saying, you couldn't find one made of metal in case anyone has X-ray eyes?","raw/s01e01.txt"
"111","RORY"," And now we say goodbye.","raw/s01e01.txt"
"112","LORELAI"," Ooh, hey, have Michel look at your French paper before you go.","raw/s01e01.txt"
"113","MICHEL"," Excuse me?","raw/s01e01.txt"
"114","RORY"," That'd be great.","raw/s01e01.txt"
"115","MICHEL"," No.","raw/s01e01.txt"
"116","RORY"," Come on, Michel. I'll tell all the ladies what a stud you are.","raw/s01e01.txt"
"117","MICHEL"," Hm. I believe that memo has already been sent.","raw/s01e01.txt"
"118","LORELAI"," [in a French accent] Oh, please, Michel. Pretty please with sucre on top. I will stop talking like this.","raw/s01e01.txt"
"119","MICHEL"," Leave it. I'll look at it if I get a chance.","raw/s01e01.txt"
"120","RORY"," It's due tomorrow. And pay special attention to the grammar.","raw/s01e01.txt"
"121","","[Rory leaves. Lorelai stares at Michel.]","raw/s01e01.txt"
"122","MICHEL"," I despise you.","raw/s01e01.txt"
"123","","CUT TO OUTSIDE","raw/s01e01.txt"
"124","","[Rory and Lane are walking to school. Lane puts a Woodstock '99 shirt on over the shirt she left home in.]","raw/s01e01.txt"
"125","RORY"," When are you going to let your parents know that you listen to the evil rock music? You're an American teenager, for God's sake.","raw/s01e01.txt"
"126","LANE"," Rory, if my parents still get upset over the obscene portion size of American food, I seriously doubt I'm gonna make any inroads with Eminem.","raw/s01e01.txt"
"127","","[The girls stop by a sign that says ""Teen Hayride"" so Lane can put on her jacket.]","raw/s01e01.txt"
"128","LANE"," [points to sign] I have to go to that.","raw/s01e01.txt"
"129","RORY"," The hayride? You're kidding.","raw/s01e01.txt"
"130","LANE"," My parents set me up with the son of a business associate. He's gonna be a doctor.","raw/s01e01.txt"
"131","RORY"," How old is he?","raw/s01e01.txt"
"132","LANE"," Sixteen.","raw/s01e01.txt"
"133","RORY"," So he's gonna be a doctor in a hundred years.","raw/s01e01.txt"
"134","LANE"," Well, my parents like to plan ahead.","raw/s01e01.txt"
"135","RORY"," God, you have to go to the hayride with him?","raw/s01e01.txt"
"136","LANE"," And his older brother.","raw/s01e01.txt"
"137","RORY"," Oh, now you're kidding.","raw/s01e01.txt"
"138","LANE"," Koreans never joke about future doctors. So, I guess you're not going, huh?","raw/s01e01.txt"
"139","RORY"," No, I'm still fuzzy on what's fun about sitting in the cold for two hours with a bundle of sticks up your butt.","raw/s01e01.txt"
"140","LANE"," Don't expect me to clear it up for you.","raw/s01e01.txt"
"141","","[Lane and Rory have arrived at school. They walk inside as a guy standing on the steps watches them.]","raw/s01e01.txt"
"142","","CUT TO CLASSROOM","raw/s01e01.txt"
"143","MRS. TRAISTER"," For those of you who have not finished the final chapters of Huckleberry Finn you may use this time to do so. For those of you who have, you can start on your essay now. Whichever task you choose, do it silently.","raw/s01e01.txt"
"144","","[The girls around Rory pass a bottle of nail polish back and forth as Rory concentrates on writing in her notebook.]","raw/s01e01.txt"
"145","GIRL #1"," Maybe it's a love letter.","raw/s01e01.txt"
"146","GIRL #2"," Or her diary.","raw/s01e01.txt"
"147","GIRL #3"," Could be a slam book.","raw/s01e01.txt"
"148","","[Girl #4 peers over Rory's shoulder.]","raw/s01e01.txt"
"149","GIRL #4"," It's the assignment.","raw/s01e01.txt"
"150","","[The girls turn away, Rory smiles to herself.]","raw/s01e01.txt"
"151","","CUT TO THE INDEPENDENCE INN","raw/s01e01.txt"
"152","","[Drella is playing the harp. A woman stands nearby and listens.]","raw/s01e01.txt"
"153","DRELLA"," Nice, huh?","raw/s01e01.txt"
"154","WOMAN"," Beautiful.","raw/s01e01.txt"
"155","DRELLA"," Yeah, well, tell it to the tip jar.","raw/s01e01.txt"
"156","","[Lorelai and a bellboy are crossing the lobby.]","raw/s01e01.txt"
"157","LORELAI"," Take Mrs. Langworthy's bags up to 314. Make sure the drapes are closed and there's extra soap and she wants her pillow mints now.","raw/s01e01.txt"
"158","","[There's a crash from the kitchen. Lorelai rushes in.]","raw/s01e01.txt"
"159","LORELAI"," Sookie!","raw/s01e01.txt"
"160","","[Sookie is on the floor near the stove.]","raw/s01e01.txt"
"161","SOOKIE"," I'm okay, I'm okay.","raw/s01e01.txt"
"162","LORELAI"," What did you do now? [to Salvador] Oh, why aren't you watching her? No estabas cuidandola?","raw/s01e01.txt"
"163","SALVADOR"," Eh, no, she's this - bad food in the head.","raw/s01e01.txt"
"164","LORELAI"," Oh. [to Sookie] I need you to be more careful.","raw/s01e01.txt"
"165","SOOKIE"," I know, I'm sorry. Hey, I fixed the peach sauce.","raw/s01e01.txt"
"166","LORELAI"," That's blood, you're bleeding. Why are you bleeding?","raw/s01e01.txt"
"167","SOOKIE"," Oh, my stitches opened. I was using too much maple syrup. It strangled the fruit.","raw/s01e01.txt"
"168","LORELAI"," When did you get stitches?","raw/s01e01.txt"
"169","SOOKIE"," Friday night. Radish roses.","raw/s01e01.txt"
"170","LORELAI"," Okay, stop moving.","raw/s01e01.txt"
"171","SOOKIE"," You gotta taste the sauce. You have to try it while it's still warm.","raw/s01e01.txt"
"172","LORELAI"," Okay. Oh, Sookie, I need you to be more careful. I need there to be fewer accidents.","raw/s01e01.txt"
"173","SOOKIE"," Yeah, yeah, yeah.","raw/s01e01.txt"
"174","","[Sookie feeds Lorelai a spoonful of the sauce.]","raw/s01e01.txt"
"175","LORELAI"," Oh, dear God Almighty. That's incredible!","raw/s01e01.txt"
"176","SOOKIE"," I want to put it on the waffles tomorrow morning for breakfast.","raw/s01e01.txt"
"177","LORELAI"," I want to take a bath in that sauce!","raw/s01e01.txt"
"178","SOOKIE"," I will make more!","raw/s01e01.txt"
"179","LORELAI"," Someday when we open our own inn, diabetics will line up to eat this sauce.","raw/s01e01.txt"
"180","SOOKIE"," Won't that be great?","raw/s01e01.txt"
"181","LORELAI"," Yeah. But the key to someday achieving that dream is for you to stay alive long enough so we can actually open an inn, you understand?","raw/s01e01.txt"
"182","SOOKIE"," Yes, I understand.","raw/s01e01.txt"
"183","LORELAI"," All right. So, now, let's get you up and to the doctor, on three. One-two-three.","raw/s01e01.txt"
"184","SOOKIE"," Ow!","raw/s01e01.txt"
"185","LORELAI"," What?","raw/s01e01.txt"
"186","SOOKIE"," Stepped on my thumb. I'm fine. On three. Okay.","raw/s01e01.txt"
"187","","[Lorelai and Salvador help Sookie up.]","raw/s01e01.txt"
"188","","CUT TO OUTSIDE","raw/s01e01.txt"
"189","","[Lane and Rory are walking home from school.]","raw/s01e01.txt"
"190","LANE"," Well, was it a good color at least?","raw/s01e01.txt"
"191","RORY"," It had sparkles in it.","raw/s01e01.txt"
"192","LANE"," Wow.","raw/s01e01.txt"
"193","RORY"," And it smelled like bubble gum when it dried.","raw/s01e01.txt"
"194","LANE"," Oh, well, there's no way Mark Twain can compete with that.","raw/s01e01.txt"
"195","","[Lane and Rory walk into Kim's Antiques.]","raw/s01e01.txt"
"196","LANE"," [calls] Mom, we're home. [to Rory] Did you hear something?","raw/s01e01.txt"
"197","RORY"," I'm not sure.","raw/s01e01.txt"
"198","LANE"," [calls] Mom? Are you here?","raw/s01e01.txt"
"199","MRS. KIM"," [from another room] We're open! Everything's half off!","raw/s01e01.txt"
"200","RORY"," We have contact.","raw/s01e01.txt"
"201","LANE"," [calls] Mom?","raw/s01e01.txt"
"202","MRS. KIM"," [calls] Lane?","raw/s01e01.txt"
"203","LANE"," Mom?","raw/s01e01.txt"
"204","MRS. KIM"," Lane?","raw/s01e01.txt"
"205","","[Lane and Mrs. Kim call to each other as Lane and Rory walk around the cluttered store trying to follow the sound of Mrs. Kim's voice.]","raw/s01e01.txt"
"206","LANE"," Mom, where are you?","raw/s01e01.txt"
"207","MRS. KIM"," Lane, where are you?","raw/s01e01.txt"
"208","LANE"," Back here!","raw/s01e01.txt"
"209","MRS. KIM"," Over here!","raw/s01e01.txt"
"210","RORY"," I think she's that way.","raw/s01e01.txt"
"211","LANE"," Are we closer?","raw/s01e01.txt"
"212","MRS. KIM"," I'm by the table!","raw/s01e01.txt"
"213","RORY"," She's kidding, right?","raw/s01e01.txt"
"214","LANE"," Look, we'll meet you in the kitchen!","raw/s01e01.txt"
"215","MRS. KIM"," What?","raw/s01e01.txt"
"216","RORY"," The kitchen!","raw/s01e01.txt"
"217","MRS. KIM"," Who's that?","raw/s01e01.txt"
"218","LANE"," It's Rory, Mom.","raw/s01e01.txt"
"219","MRS. KIM"," Oh.","raw/s01e01.txt"
"220","RORY"," Wow, I can hear the disappointment from here.","raw/s01e01.txt"
"221","LANE"," Oh, come on. Stop it.","raw/s01e01.txt"
"222","RORY"," You know, it sucks that after all these years your mom still hates me.","raw/s01e01.txt"
"223","LANE"," She doesn't hate you.","raw/s01e01.txt"
"224","RORY"," She hates my mother.","raw/s01e01.txt"
"225","LANE"," She doesn't trust unmarried women.","raw/s01e01.txt"
"226","RORY"," You're unmarried.","raw/s01e01.txt"
"227","LANE"," I'm hayriding with a future proctologist. I have potential.","raw/s01e01.txt"
"228","","[Lane and Rory wind their way through the antique furniture and come out in the kitchen where Mrs. Kim is waiting.]","raw/s01e01.txt"
"229","MRS. KIM"," Go upstairs. Tea is ready. I have muffins - no dairy, no sugar, no wheat. You have to soak them in tea to make them soft enough to bite but they're very healthy. So, how was school? None of the girls get pregnant, drop out?","raw/s01e01.txt"
"230","LANE"," Not that we know of.","raw/s01e01.txt"
"231","RORY"," Though come to think of it, Joanna Posner was glowing a little.","raw/s01e01.txt"
"232","MRS. KIM"," What?","raw/s01e01.txt"
"233","LANE"," Nothing, Mama. She's just kidding.","raw/s01e01.txt"
"234","MRS. KIM"," [very seriously] Boys don't like funny girls.","raw/s01e01.txt"
"235","RORY"," Noted.","raw/s01e01.txt"
"236","","[A bell rings, signaling that someone has just opened the shop door.]","raw/s01e01.txt"
"237","MAN"," [calls] Hello? Anybody here?","raw/s01e01.txt"
"238","MRS. KIM"," [calls] We're here! We're coming! [to the girls] Have the muffins. Made from sprouted wheat. Only good 24 hours. [calls] Everything's half off!","raw/s01e01.txt"
"239","MAN"," [calls] Where are you?","raw/s01e01.txt"
"240","MRS. KIM"," [calls] Over here!","raw/s01e01.txt"
"241","MAN"," [calls] Where?","raw/s01e01.txt"
"242","MRS. KIM"," [calls] By the chair!","raw/s01e01.txt"
"243","MAN"," [calls] What chair?","raw/s01e01.txt"
"244","","CUT TO INDEPENDENCE INN KITCHEN","raw/s01e01.txt"
"245","","[Sookie is chopping vegetables. Salvador pulls Sookie's hand away from the cutting board]","raw/s01e01.txt"
"246","SALVADOR"," Careful!","raw/s01e01.txt"
"247","SOOKIE"," I'm okay. Peppers, peppers, peppers.","raw/s01e01.txt"
"248","SALVADOR"," Mike!","raw/s01e01.txt"
"249","","[As Sookie moves around the kitchen the other cooks move things out of her way and prevent disasters.]","raw/s01e01.txt"
"250","SOOKIE"," Okay, hello little vegetables, come with me. I got it. Okay, where's my glaze.","raw/s01e01.txt"
"251","SALVADOR"," In the counter.","raw/s01e01.txt"
"252","SOOKIE"," On the counter. On, not in, not in the counter. Okay, good, all right. My sauce. Whoo, that's pretty good. Hello, a little bit of greens. Okay, okay. Hello, my little babies. You like that? A little bit of juice. Okay. You're very pretty. Okay.","raw/s01e01.txt"
"253","SALVADOR"," Mike, Mike!","raw/s01e01.txt"
"254","","[Mike helps Sookie reach an iron skillet; Lorelai rushes into the kitchen]","raw/s01e01.txt"
"255","LORELAI"," Sookie!","raw/s01e01.txt"
"256","","[Sookie turns around and lifts the hand with the skillet. She hits Salvador in the face with it and knocks him over. ]","raw/s01e01.txt"
"257","LORELAI"," Ooh. It's here! It happened! She did it!","raw/s01e01.txt"
"258","SOOKIE"," Okay, I'm gonna need a little bit longer sentence.","raw/s01e01.txt"
"259","LORELAI"," The Chilton school. Rory got in.","raw/s01e01.txt"
"260","SOOKIE"," Oh my God! Oh my God! Oh my God!","raw/s01e01.txt"
"261","LORELAI"," I know. Look. [reads from a letter] ""Dear Ms. Gilmore, We are happy to inform you that we have a vacancy at Chilton Preparatory starting immediately. Due to your daughter's excellent credentials and your enthusiastic pursuit of her enrollment"" - I offered to do the principal to get her in - ""we would be happy to accept her as soon as the first semester's tuition has been received.""","raw/s01e01.txt"
"262","SOOKIE"," This is very exciting!","raw/s01e01.txt"
"263","","[They both giggle and hug]","raw/s01e01.txt"
"264","LORELAI"," Is something burning?","raw/s01e01.txt"
"265","SOOKIE"," My bangs, earlier. Go on, go on, go on.","raw/s01e01.txt"
"266","LORELAI"," This is it. She can finally go to Harvard like she's always wanted and get the education that I never got and get to do all the things that I never got to do and then I can resent her for it and we can finally have a normal mother-daughter relationship.","raw/s01e01.txt"
"267","SOOKIE"," Oh, good.","raw/s01e01.txt"
"268","","[They giggle again. Rory walks in]","raw/s01e01.txt"
"269","RORY"," Mom?","raw/s01e01.txt"
"270","LORELAI"," Oh!","raw/s01e01.txt"
"271","RORY"," You're happy.","raw/s01e01.txt"
"272","LORELAI"," Yeah.","raw/s01e01.txt"
"273","RORY"," Did you do something slutty?","raw/s01e01.txt"
"274","LORELAI"," I'm not that happy.","raw/s01e01.txt"
"275","","[Lorelai and Sookie giggle.]","raw/s01e01.txt"
"276","LORELAI"," Here. [hands Rory a gift bag.]","raw/s01e01.txt"
"277","RORY"," What's going on?","raw/s01e01.txt"
"278","LORELAI"," Open it.","raw/s01e01.txt"
"279","","[Rory pulls out a plaid skirt.]","raw/s01e01.txt"
"280","RORY"," I'm gonna be in a Britney Spears video?","raw/s01e01.txt"
"281","SOOKIE"," You're going to Chilton! Oh, sorry.","raw/s01e01.txt"
"282","RORY"," Mom?","raw/s01e01.txt"
"283","LORELAI"," You did it, babe. You got in.","raw/s01e01.txt"
"284","RORY"," How did this happen? You didn't. . .with the principal, did you?","raw/s01e01.txt"
"285","LORELAI"," No, honey, that was a joke. They have an open spot. You're gonna start on Monday.","raw/s01e01.txt"
"286","RORY"," Really?","raw/s01e01.txt"
"287","LORELAI"," Really.","raw/s01e01.txt"
"288","RORY"," I don't believe this! Oh my God, I'm going to Chilton!","raw/s01e01.txt"
"289","LORELAI"," Yeah.","raw/s01e01.txt"
"290","","[Lorelai and Rory hug.]","raw/s01e01.txt"
"291","RORY"," Sookie, I'm going to Chilton!","raw/s01e01.txt"
"292","","[Sookie and Rory hug.]","raw/s01e01.txt"
"293","SOOKIE"," I'll make cookies. Protestants love oatmeal.","raw/s01e01.txt"
"294","RORY"," I have to call Lane.","raw/s01e01.txt"
"295","","[Rory starts to leave then hugs Lorelai again.]","raw/s01e01.txt"
"296","RORY"," I love you.","raw/s01e01.txt"
"297","LORELAI"," I love you.","raw/s01e01.txt"
"298","","[Rory leaves.]","raw/s01e01.txt"
"299","LORELAI"," My girl's going to Chilton","raw/s01e01.txt"
"300","SOOKIE"," Yeah. Rory's going to Chilton!","raw/s01e01.txt"
"301","","[As Lorelai leaves, Sookie starts a little dance and begins to sing.]","raw/s01e01.txt"
"302","SOOKIE"," Rory's going to Chilton! Rory's going to Chilton! Rory's going to Chilton!","raw/s01e01.txt"
"303","","[Sookie tosses a dish towel over her shoulder. It lands on the stove and catches fire. Salvador covers it with a lid.]","raw/s01e01.txt"
"304","","CUT TO INDEPENDENCE INN LOBBY","raw/s01e01.txt"
"305","","[The phone is ringing, Michel is ignoring it.]","raw/s01e01.txt"
"306","LORELAI"," Michel, the phone.","raw/s01e01.txt"
"307","MICHEL"," Mmhmm. It rings.","raw/s01e01.txt"
"308","LORELAI"," Can you answer it?","raw/s01e01.txt"
"309","MICHEL"," No. People are particularly stupid today. I can't talk to any more of them.","raw/s01e01.txt"
"310","LORELAI"," You know who's really nice to talk to? The people at the unemployment agency.","raw/s01e01.txt"
"311","","[Michel answers the phone.]","raw/s01e01.txt"
"312","MICHEL"," Independence Inn, Michel speaking. [pause] No, I'm sorry, we're completely booked.","raw/s01e01.txt"
"313","","[Lorelai opens an envelope and pulls out a letter. She reads it and gasps]","raw/s01e01.txt"
"314","","CUT TO LORELAI'S HOUSE","raw/s01e01.txt"
"315","","[Lorelai is walking around while on the phone.]","raw/s01e01.txt"
"316","LORELAI"," I'm holding for Miss Bell. I've been trying to get a hold of her all day. [pause] Lorelai Gilmore. [pause] Hi! Oh, hi, hi. Yeah, uh, my daughter Rory has just been accepted - yay. [pause] Thank you, and, um, I got the invoice for your enrollment fee. Wow, that is a lot of zeros behind that five. [pause] Uh huh. Okay, well, I guess what I'm wondering is if you couldn't take, say, part of it now, just to get her going? [pause] Well, but she's supposed to start Monday. It just doesn't give me a lot of time to pull a bank job. [pause] Well, never mind, I was just kidding. [pause] No, a bank job is robbing a bank but -- [pause] Uh-huh. Oh, no. No, no, no. I don't want you to give up her space. I'll just -- I'll have to figure it out. [pause] Okay. No, thank you. It's been a real treat talking to you. [pause] Yeah. Bye-bye.","raw/s01e01.txt"
"317","","CUT TO LORELAI'S FRONT PORCH","raw/s01e01.txt"
"318","","[It's nighttime. Lorelai and Sookie are talking on the porch.]","raw/s01e01.txt"
"319","LORELAI"," What do I do? What do I do? What do I do?","raw/s01e01.txt"
"320","SOOKIE"," You can have anything I own. My car! Sell my car.","raw/s01e01.txt"
"321","LORELAI"," Oh, sweetie, no one wants your car.","raw/s01e01.txt"
"322","SOOKIE"," Yeah.","raw/s01e01.txt"
"323","LORELAI"," There's something I haven't thought of, I know there is. There's something out there staring me right in the face. I just. . .I haven't seen it.","raw/s01e01.txt"
"324","SOOKIE"," You know, you might consider calling your par--","raw/s01e01.txt"
"325","LORELAI"," No.","raw/s01e01.txt"
"326","SOOKIE"," But I don't think you have a --","raw/s01e01.txt"
"327","LORELAI"," Stop.","raw/s01e01.txt"
"328","SOOKIE"," You can at least go and --","raw/s01e01.txt"
"329","LORELAI"," Uh.","raw/s01e01.txt"
"330","SOOKIE"," Okay, can I say one more thing? I think it's your only option.","raw/s01e01.txt"
"331","LORELAI"," Sookie, there are several chapters from a Stephen King novel I'd reenact before I'd resort to that option.","raw/s01e01.txt"
"332","SOOKIE"," Okay, dropped. Dropped.","raw/s01e01.txt"
"333","LORELAI"," Thank you.","raw/s01e01.txt"
"334","","[Rory comes outside in her Chilton skirt, which is too big on her.]","raw/s01e01.txt"
"335","RORY"," Mom? So what do you think?","raw/s01e01.txt"
"336","SOOKIE"," [enthusiastically] Wow, it makes you look smart!","raw/s01e01.txt"
"337","RORY"," Okay, no more wine for you. Mom?","raw/s01e01.txt"
"338","LORELAI"," You look like you were swallowed by a kilt.","raw/s01e01.txt"
"339","RORY"," Fine, you can hem it. A little.","raw/s01e01.txt"
"340","LORELAI"," Ooh.","raw/s01e01.txt"
"341","RORY"," Only a little.","raw/s01e01.txt"
"342","LORELAI"," Okay. Or I could hem it a lot.","raw/s01e01.txt"
